S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
34,JAIPUR DIVISION (North Western Railway),1,100,1.21,101,0,100.00,0:18,Satisfactory,0:13,149,0:07
35,JODHPUR DIVISION (North Western Railway),0,100,1.21,100,0,100.00,0:33,Satisfactory,0:09,105,0:03
12,BHUSAVAL DIVISION (Central Railway),3,99,1.20,100,2,98.04,0:15,Satisfactory,0:11,228,0:03
38,KATIHAR DIVISION (Northeast Frontier Railway),2,96,1.16,95,3,96.94,0:38,Satisfactory,0:18,125,0:04
62,RATLAM DIVISION (Western Railway),0,95,1.15,95,0,100.00,0:21,Satisfactory,0:09,105,0:02
16,CHAKRADHARPUR DIVISION (South Eastern Railway),4,87,1.05,89,2,97.80,0:32,Satisfactory,0:15,79,0:06
67,SEALDAH DIVISION (Eastern Railway),2,86,1.04,87,1,98.86,0:19,Excellent,0:11,56,0:03
69,IRCTC SOUTH CENTRAL ZONE (IRCTC),0,86,1.04,86,0,100.00,0:54,Satisfactory,0:20,18,-
18,Pt. DEEN DAYAL UPADHYAYA DIVISION (East Central Railway),0,76,0.92,76,0,100.00,0:19,Excellent,0:22,143,0:09
8,BIKANER DIVISION (North Western Railway),0,73,0.88,73,0,100.00,0:08,Satisfactory,0:10,96,0:03
19,DHANBAD DIVISION (East Central Railway),7,73,0.88,80,0,100.00,0:32,Satisfactory,0:12,60,0:07
10,VADODARA DIVISION (Western Railway),0,70,0.85,70,0,100.00,0:10,Satisfactory,0:07,45,0:02
31,JAMMU DIVISION (Northern Railway),0,64,0.77,63,1,98.44,0:44,Satisfactory,0:18,82,0:03
50,NANDED DIVISION (South Central Railway),1,60,0.73,61,0,100.00,0:19,Satisfactory,0:07,54,0:03
13,BILASPUR DIVISION (South East Central Railway),0,51,0.62,51,0,100.00,0:21,Satisfactory,0:18,73,0:06
28,HYDERABAD DIVISION (South Central Railway),0,48,0.58,48,0,100.00,0:13,Satisfactory,0:07,40,0:06
4,AJMER DIVISION (North Western Railway),0,47,0.57,46,1,97.87,0:15,Excellent,0:09,112,0:06
63,SALEM DIVISION (Southern Railway),2,47,0.57,49,0,100.00,0:18,Satisfactory,0:08,93,0:01
60,RANCHI DIVISION (South Eastern Railway),3,46,0.56,48,1,97.96,0:42,Satisfactory,0:19,81,0:14
14,BHAVNAGAR DIVISION (Western Railway),0,45,0.54,45,0,100.00,0:20,Satisfactory,0:11,20,0:01
65,SAMBALPUR DIVISION (East Coast Railway),0,45,0.54,45,0,100.00,0:12,Excellent,0:12,62,0:10
47,MALDA DIVISION (Eastern Railway),1,43,0.52,43,1,97.73,0:19,Satisfactory,0:21,36,0:12
76,HUBLI DIVISION (South Western Railway),2,40,0.48,41,1,97.62,0:27,Excellent,0:23,23,0:12
72,SHOLAPUR DIVISION (Central Railway),0,39,0.47,38,1,97.44,0:13,Excellent,0:10,62,0:03
5,ALIPURDUAR DIVISION (Northeast Frontier Railway),0,37,0.45,37,0,100.00,0:25,Satisfactory,0:24,26,0:14
48,MYSORE DIVISION (South Western Railway),0,36,0.44,36,0,100.00,0:28,Satisfactory,0:20,26,0:05
56,RAIPUR DIVISION (South East Central Railway),1,33,0.40,34,0,100.00,0:21,Excellent,0:42,34,0:16
30,IZATNAGAR DIVISION (North Eastern Railway),0,32,0.39,32,0,100.00,0:16,Satisfactory,0:10,32,0:06
6,ASANSOL DIVISION (Eastern Railway),1,30,0.36,30,1,96.77,0:16,Satisfactory,0:17,47,0:03
70,IRCTC SOUTH ZONE (IRCTC),1,29,0.35,30,0,100.00,1:23,Satisfactory,0:37,33,-
53,PALGHAT DIVISION (Southern Railway),0,28,0.34,27,1,96.43,0:15,Satisfactory,0:08,83,0:05
36,KARWAR DIVISION (Konkan Railway),0,25,0.30,25,0,100.00,0:33,UnSatisfactory,0:27,36,0:14
49,NAGPUR DIVISION (South East Central Railway),0,24,0.29,24,0,100.00,0:13,Satisfactory,0:06,25,0:06
58,RAJKOT DIVISION (Western Railway),0,23,0.28,23,0,100.00,0:08,Satisfactory,0:03,19,0:00
46,MADURAI DIVISION (Southern Railway),2,20,0.24,22,0,100.00,0:21,Satisfactory,0:15,78,0:00
39,KOTA DIVISION (West Central Railway),0,19,0.23,17,2,89.47,0:12,Excellent,0:07,67,0:02
24,GUNTUR DIVISION (South Coast Railway),0,17,0.21,16,1,94.12,0:14,Excellent,0:06,13,0:02
26,HEAD QUARTER,2,17,0.21,19,0,100.00,0:48,Satisfactory,0:23,17,-
61,RANGIYA DIVISION (Northeast Frontier Railway),0,16,0.19,16,0,100.00,0:16,Satisfactory,0:21,18,0:04
73,TRICHURAPALLI DIVISION (Southern Railway),1,15,0.18,15,1,93.75,0:32,Satisfactory,0:20,45,0:14
2,ADRA DIVISION (South Eastern Railway),0,11,0.13,10,1,90.91,0:36,Satisfactory,0:37,12,0:01
59,RATNAGIRI DIVISION (Konkan Railway),0,8,0.10,7,1,87.50,1:18,Excellent,0:47,13,0:20
57,RAYAGADA DIVISION (East Coast Railway),0,4,0.05,3,1,75.00,0:28,Nil,0:13,11,0:01
