S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
24,THIRUVANANTHAPURAM DIVISION (Southern Railway),2,166,1.67,165,3,98.21,0:29,Satisfactory,0:22,184,0:11
25,NAGPUR DIVISION (Central Railway),2,158,1.59,157,3,98.13,0:10,Satisfactory,0:08,203,0:03
26,SECUNDERABAD DIVISION (South Central Railway),4,156,1.57,159,1,99.38,0:31,Satisfactory,0:13,157,0:03
27,TINSUKIA DIVISION (Northeast Frontier Railway),4,150,1.51,153,1,99.35,0:39,Excellent,0:22,98,0:17
28,HOWRAH DIVISION (Eastern Railway),10,149,1.50,152,7,95.60,0:38,Satisfactory,0:22,183,0:02
29,AHMEDABAD DIVISION (Western Railway),0,146,1.47,145,1,99.32,0:17,Satisfactory,0:09,105,0:02
30,IRCTC WEST ZONE (IRCTC),3,140,1.41,138,5,96.50,1:12,Satisfactory,0:28,67,-
31,VISAKHAPATNAM DIVISION (South Coast Railway),1,139,1.40,138,2,98.57,0:19,Satisfactory,0:17,153,0:01
32,VIJAYAWADA DIVISION (South Coast Railway),5,135,1.36,139,1,99.29,0:16,Satisfactory,0:12,237,0:04
33,RATLAM DIVISION (Western Railway),0,125,1.26,123,2,98.40,0:18,Satisfactory,0:09,108,0:03
34,KATIHAR DIVISION (Northeast Frontier Railway),2,124,1.25,110,16,87.30,0:26,Satisfactory,0:18,145,0:10
35,FIROZPUR DIVISION (Northern Railway),7,122,1.23,128,1,99.22,0:51,Satisfactory,0:23,174,0:14
36,SEALDAH DIVISION (Eastern Railway),1,119,1.20,117,3,97.50,0:24,Satisfactory,0:10,88,0:07
37,GUNTAKAL DIVISION (South Coast Railway),2,114,1.15,114,2,98.28,0:37,Excellent,0:19,102,0:04
38,CHAKRADHARPUR DIVISION (South Eastern Railway),2,111,1.12,111,2,98.23,0:54,Satisfactory,0:19,74,0:08
39,SONEPUR DIVISION (East Central Railway),1,111,1.12,112,0,100.00,0:15,Satisfactory,0:13,98,0:05
40,JAIPUR DIVISION (North Western Railway),1,103,1.04,101,3,97.12,0:17,Satisfactory,0:15,225,0:03
41,AMBALA DIVISION (Northern Railway),4,96,0.97,95,5,95.00,0:37,Satisfactory,0:15,121,0:04
42,AGRA DIVISION (North Central Railway),3,91,0.92,93,1,98.94,0:17,Satisfactory,0:12,113,0:07
43,Pt. DEEN DAYAL UPADHYAYA DIVISION (East Central Railway),1,88,0.89,85,4,95.51,0:13,Excellent,0:17,143,0:06
44,JAMMU DIVISION (Northern Railway),6,88,0.89,91,3,96.81,0:40,Satisfactory,0:19,137,0:04
45,DHANBAD DIVISION (East Central Railway),5,85,0.86,82,8,91.11,0:57,Satisfactory,0:16,73,0:11
46,IRCTC SOUTH ZONE (IRCTC),0,75,0.76,74,1,98.67,0:56,Satisfactory,0:22,64,-
47,NANDED DIVISION (South Central Railway),0,68,0.68,67,1,98.53,0:20,Satisfactory,0:06,64,0:06
48,HUBLI DIVISION (South Western Railway),1,68,0.68,63,6,91.30,0:26,Satisfactory,0:13,54,0:04
49,AJMER DIVISION (North Western Railway),2,66,0.66,66,2,97.06,0:20,Excellent,0:12,97,0:14
50,IRCTC SOUTH CENTRAL ZONE (IRCTC),0,64,0.64,63,1,98.44,0:56,Satisfactory,0:20,38,-
51,RANCHI DIVISION (South Eastern Railway),5,63,0.63,63,5,92.65,0:27,Excellent,0:23,58,0:06
52,PALGHAT DIVISION (Southern Railway),2,60,0.60,62,0,100.00,0:18,Satisfactory,0:09,99,0:09
53,JODHPUR DIVISION (North Western Railway),4,58,0.58,62,0,100.00,0:21,Excellent,0:11,78,0:03
54,ASANSOL DIVISION (Eastern Railway),1,57,0.57,56,2,96.55,0:22,Satisfactory,0:11,73,0:02
55,BIKANER DIVISION (North Western Railway),1,57,0.57,54,4,93.10,0:12,Excellent,0:10,121,0:02
56,HYDERABAD DIVISION (South Central Railway),0,56,0.56,56,0,100.00,0:19,Satisfactory,0:07,45,0:03
57,SALEM DIVISION (Southern Railway),1,56,0.56,57,0,100.00,0:16,Satisfactory,0:08,86,0:02
58,BHAVNAGAR DIVISION (Western Railway),0,53,0.53,53,0,100.00,0:18,Satisfactory,0:07,21,0:00
59,SHOLAPUR DIVISION (Central Railway),0,53,0.53,53,0,100.00,0:14,Satisfactory,0:06,53,0:02
60,IZATNAGAR DIVISION (North Eastern Railway),0,49,0.49,48,1,97.96,0:13,Satisfactory,0:10,43,0:11
61,MALDA DIVISION (Eastern Railway),1,48,0.48,49,0,100.00,0:20,Satisfactory,0:17,50,0:08
62,BILASPUR DIVISION (South East Central Railway),1,47,0.47,48,0,100.00,0:23,Satisfactory,0:15,77,0:17
63,VADODARA DIVISION (Western Railway),0,44,0.44,44,0,100.00,0:10,Satisfactory,0:04,48,0:05
64,SAMBALPUR DIVISION (East Coast Railway),0,44,0.44,44,0,100.00,0:13,Satisfactory,0:11,38,0:06
65,GUNTUR DIVISION (South Coast Railway),2,41,0.41,42,1,97.67,0:16,Satisfactory,0:13,58,0:08
66,MYSORE DIVISION (South Western Railway),6,41,0.41,47,0,100.00,0:26,Satisfactory,0:17,43,0:04
67,RAIPUR DIVISION (South East Central Railway),2,41,0.41,43,0,100.00,0:23,Excellent,0:15,37,0:18
68,KOTA DIVISION (West Central Railway),1,40,0.40,36,5,87.80,0:17,Satisfactory,0:08,60,0:10
69,KARWAR DIVISION (Konkan Railway),0,33,0.33,32,1,96.97,0:34,UnSatisfactory,0:20,39,0:10
70,ALIPURDUAR DIVISION (Northeast Frontier Railway),0,31,0.31,30,1,96.77,0:24,Satisfactory,0:27,30,0:12
71,TRICHURAPALLI DIVISION (Southern Railway),1,28,0.28,28,1,96.55,0:30,Satisfactory,0:18,45,0:08
72,NAGPUR DIVISION (South East Central Railway),0,27,0.27,26,1,96.30,0:12,Satisfactory,0:10,31,0:03
73,MADURAI DIVISION (Southern Railway),4,23,0.23,27,0,100.00,0:20,Satisfactory,0:25,56,0:42
74,RANGIYA DIVISION (Northeast Frontier Railway),1,20,0.20,20,1,95.24,0:14,Satisfactory,0:24,32,0:07
75,HEAD QUARTER,1,16,0.16,17,0,100.00,0:43,UnSatisfactory,0:19,10,-
76,ADRA DIVISION (South Eastern Railway),1,15,0.15,16,0,100.00,0:28,Excellent,0:24,27,0:01
77,RAJKOT DIVISION (Western Railway),0,15,0.15,14,1,93.33,0:09,Satisfactory,0:07,12,-
78,RATNAGIRI DIVISION (Konkan Railway),0,15,0.15,14,1,93.33,1:03,Satisfactory,0:45,9,1:08
79,RAYAGADA DIVISION (East Coast Railway),3,11,0.11,10,4,71.43,2:03,UnSatisfactory,0:09,8,0:01
