S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
35,AHMEDABAD DIVISION (Western Railway),0,112,1.19,112,0,100.00,0:19,Satisfactory,0:07,137,0:06
36,VISAKHAPATNAM DIVISION (South Coast Railway),2,111,1.18,109,4,96.46,0:25,Excellent,0:11,98,0:01
37,AGRA DIVISION (North Central Railway),2,104,1.10,102,4,96.23,0:19,Excellent,0:09,114,0:06
38,RATLAM DIVISION (Western Railway),0,100,1.06,100,0,100.00,0:16,Satisfactory,0:08,112,0:03
39,NAGPUR DIVISION (Central Railway),0,99,1.05,99,0,100.00,0:16,Satisfactory,0:09,79,0:03
40,CHAKRADHARPUR DIVISION (South Eastern Railway),1,95,1.01,93,3,96.88,0:32,Satisfactory,0:17,108,0:10
41,JAIPUR DIVISION (North Western Railway),0,90,0.95,88,2,97.78,0:19,Satisfactory,0:14,204,0:06
42,AMBALA DIVISION (Northern Railway),3,90,0.95,90,3,96.77,0:28,Satisfactory,0:19,126,0:01
43,JAMMU DIVISION (Northern Railway),2,87,0.92,82,7,92.13,0:52,Satisfactory,0:22,118,0:02
44,DHANBAD DIVISION (East Central Railway),1,81,0.86,77,5,93.90,0:26,Satisfactory,0:14,89,0:04
45,Pt. DEEN DAYAL UPADHYAYA DIVISION (East Central Railway),1,73,0.77,72,2,97.30,0:20,Satisfactory,0:19,132,0:13
46,PALGHAT DIVISION (Southern Railway),1,73,0.77,72,2,97.30,0:21,Satisfactory,0:12,120,0:08
47,BIKANER DIVISION (North Western Railway),2,71,0.75,72,1,98.63,0:10,Excellent,0:10,111,0:05
48,MALDA DIVISION (Eastern Railway),0,71,0.75,70,1,98.59,0:20,Satisfactory,0:30,67,0:10
49,RANCHI DIVISION (South Eastern Railway),3,70,0.74,69,4,94.52,0:40,Satisfactory,0:16,72,0:10
50,IRCTC SOUTH CENTRAL ZONE (IRCTC),0,67,0.71,66,1,98.51,0:48,Satisfactory,0:17,19,-
51,MYSORE DIVISION (South Western Railway),0,62,0.66,56,6,90.32,0:29,Satisfactory,0:11,49,0:05
52,IRCTC SOUTH ZONE (IRCTC),0,61,0.65,61,0,100.00,1:10,Satisfactory,0:25,49,-
53,JODHPUR DIVISION (North Western Railway),1,60,0.64,56,5,91.80,0:39,Satisfactory,0:09,93,0:08
54,RAJKOT DIVISION (Western Railway),0,59,0.63,58,1,98.31,0:06,Satisfactory,0:04,26,0:00
55,HUBLI DIVISION (South Western Railway),0,57,0.60,55,2,96.49,0:26,Satisfactory,0:20,61,0:03
56,ASANSOL DIVISION (Eastern Railway),1,55,0.58,55,1,98.21,0:22,Satisfactory,0:15,104,0:05
57,ALIPURDUAR DIVISION (Northeast Frontier Railway),2,53,0.56,55,0,100.00,0:17,Satisfactory,0:17,34,0:08
58,SHOLAPUR DIVISION (Central Railway),0,51,0.54,51,0,100.00,0:14,Excellent,0:07,48,0:12
59,NANDED DIVISION (South Central Railway),0,49,0.52,49,0,100.00,0:20,Satisfactory,0:06,42,0:09
60,SALEM DIVISION (Southern Railway),0,49,0.52,48,1,97.96,0:21,Excellent,0:06,105,0:02
61,AJMER DIVISION (North Western Railway),2,46,0.49,47,1,97.92,0:19,Excellent,0:10,121,0:04
62,BILASPUR DIVISION (South East Central Railway),1,46,0.49,47,0,100.00,0:46,Satisfactory,0:18,62,0:04
63,IZATNAGAR DIVISION (North Eastern Railway),0,45,0.48,44,1,97.78,0:10,Satisfactory,0:08,32,0:09
64,HYDERABAD DIVISION (South Central Railway),1,44,0.47,45,0,100.00,0:19,Satisfactory,0:09,40,0:03
65,BHAVNAGAR DIVISION (Western Railway),0,42,0.45,42,0,100.00,0:18,Satisfactory,0:11,20,0:01
66,VADODARA DIVISION (Western Railway),0,36,0.38,36,0,100.00,0:10,Satisfactory,0:05,60,0:02
67,MADURAI DIVISION (Southern Railway),2,36,0.38,34,4,89.47,0:22,Excellent,0:14,63,0:00
68,RAIPUR DIVISION (South East Central Railway),2,36,0.38,36,2,94.74,0:35,Excellent,0:13,43,0:14
69,TRICHURAPALLI DIVISION (Southern Railway),0,31,0.33,31,0,100.00,0:21,Satisfactory,0:19,43,0:15
70,ADRA DIVISION (South Eastern Railway),2,29,0.31,30,1,96.77,0:25,Satisfactory,0:23,23,0:03
71,KOTA DIVISION (West Central Railway),0,29,0.31,29,0,100.00,0:11,Excellent,0:11,35,0:04
72,GUNTUR DIVISION (South Coast Railway),1,28,0.30,27,2,93.10,0:24,Satisfactory,0:09,30,0:05
73,KARWAR DIVISION (Konkan Railway),0,27,0.29,27,0,100.00,0:33,Satisfactory,0:38,25,0:13
74,RANGIYA DIVISION (Northeast Frontier Railway),0,20,0.21,19,1,95.00,0:20,Satisfactory,0:22,34,0:08
75,SAMBALPUR DIVISION (East Coast Railway),0,20,0.21,20,0,100.00,0:09,Satisfactory,0:22,42,0:03
76,HEAD QUARTER,1,18,0.19,19,0,100.00,0:32,UnSatisfactory,0:20,16,-
77,NAGPUR DIVISION (South East Central Railway),0,12,0.13,12,0,100.00,0:21,Satisfactory,0:14,25,0:02
78,RAYAGADA DIVISION (East Coast Railway),2,9,0.10,8,3,72.73,3:37,Satisfactory,0:11,5,0:03
79,RATNAGIRI DIVISION (Konkan Railway),0,9,0.10,9,0,100.00,1:08,Excellent,1:08,6,0:38
